DAS Channel,Lat [decimal],Lon [decimal],Elevation [m],OD [m]
614,61.303328,-45.762318,-181.5,2938.6
615,61.303341,-45.762417,-183.3,2943.39
616,61.303352,-45.762503,-185.8,2948.18
617,61.30336,-45.762573,-189.3,2952.96
618,61.303368,-45.762643,-192.8,2957.75
619,61.303376,-45.762713,-196.2,2962.53
620,61.303384,-45.762783,-199.7,2967.32
621,61.303392,-45.762853,-203.2,2972.11
622,61.3034,-45.762923,-206.7,2976.89
623,61.303408,-45.762992,-210.2,2981.68
624,61.303416,-45.763062,-213.7,2986.46
625,61.303427,-45.76313,-213.9,2991.25
626,61.303439,-45.763198,-213.8,2996.04
627,61.303451,-45.763265,-213.7,3000.82
628,61.303463,-45.763333,-213.6,3005.61
629,61.303474,-45.7634,-213.5,3010.39
630,61.303486,-45.763468,-213.4,3015.18
631,61.303498,-45.763535,-213.3,3019.97
632,61.303509,-45.763603,-213.6,3024.75
633,61.30352,-45.763671,-214.0,3029.54
634,61.303531,-45.763739,-214.3,3034.32
635,61.303542,-45.763807,-214.6,3039.11
636,61.303553,-45.763875,-215.0,3043.9
637,61.303564,-45.763943,-215.3,3048.68
638,61.303575,-45.764011,-215.6,3053.47
639,61.303587,-45.764079,-215.9,3058.25
640,61.303597,-45.764147,-216.3,3063.04
641,61.303605,-45.764214,-216.9,3067.83
642,61.303613,-45.764281,-217.5,3072.61
643,61.303621,-45.764348,-218.1,3077.4
644,61.303628,-45.764415,-218.7,3082.18
645,61.303636,-45.764482,-219.3,3086.97
646,61.303644,-45.764548,-219.9,3091.76
647,61.303652,-45.764615,-220.5,3096.54
648,61.30366,-45.764682,-221.1,3101.33
649,61.303668,-45.764749,-221.7,3106.11
650,61.30367,-45.764818,-222.5,3110.9
651,61.303671,-45.764886,-223.4,3115.69
652,61.303672,-45.764955,-224.3,3120.47
653,61.303672,-45.765024,-225.2,3125.26
654,61.303673,-45.765093,-226.0,3130.04
655,61.303674,-45.765162,-226.9,3134.83
656,61.303675,-45.765231,-229.5,3139.62
657,61.303679,-45.765299,-235.3,3144.4
658,61.303682,-45.765368,-241.0,3149.19
659,61.303685,-45.765436,-246.8,3153.97
660,61.303688,-45.765505,-252.6,3158.76
661,61.303691,-45.765574,-258.3,3163.55
662,61.303694,-45.765642,-264.1,3168.33
663,61.303697,-45.765711,-269.7,3173.12
664,61.303698,-45.765801,-270.4,3177.9
665,61.3037,-45.765891,-271.1,3182.69
666,61.303701,-45.765981,-271.8,3187.48
667,61.303702,-45.766071,-272.5,3192.26
668,61.303703,-45.76616,-273.2,3197.05
669,61.303704,-45.76625,-273.9,3201.83
670,61.303706,-45.76634,-274.6,3206.62
671,61.303708,-45.76643,-274.9,3211.41
672,61.303711,-45.766519,-275.2,3216.19
673,61.303713,-45.766609,-275.5,3220.98
674,61.303716,-45.766699,-275.8,3225.76
675,61.303719,-45.766788,-276.1,3230.55
676,61.303721,-45.766878,-276.5,3235.34
677,61.303724,-45.766968,-276.8,3240.12
678,61.303729,-45.767057,-277.2,3244.91
679,61.303734,-45.767146,-277.7,3249.69
680,61.303739,-45.767236,-278.2,3254.48
681,61.303744,-45.767325,-278.7,3259.27
682,61.303749,-45.767414,-279.1,3264.05
683,61.303754,-45.767503,-279.6,3268.84
684,61.303762,-45.767593,-279.8,3273.62
685,61.303772,-45.767683,-279.9,3278.41
686,61.303783,-45.767773,-280.0,3283.2
687,61.303793,-45.767863,-279.7,3287.98
688,61.303804,-45.767953,-279.4,3292.77
689,61.303815,-45.768042,-279.0,3297.55
690,61.303826,-45.768132,-278.6,3302.34
691,61.303837,-45.768222,-278.3,3307.13
692,61.303848,-45.768311,-277.9,3311.91
693,61.303859,-45.768401,-277.6,3316.7
694,61.303869,-45.768491,-277.2,3321.48
695,61.303879,-45.768581,-276.9,3326.27
696,61.303889,-45.768671,-276.6,3331.06
697,61.3039,-45.76876,-276.2,3335.84
698,61.30391,-45.76885,-275.9,3340.63
699,61.30392,-45.76894,-275.6,3345.41
700,61.30393,-45.76903,-275.2,3350.2
701,61.30394,-45.76912,-274.9,3354.99
702,61.30395,-45.76921,-274.6,3359.77
703,61.303957,-45.769302,-274.5,3364.56
704,61.303963,-45.769393,-274.6,3369.34
705,61.303968,-45.769485,-274.6,3374.13
706,61.303974,-45.769577,-274.7,3378.92
707,61.30398,-45.769668,-274.7,3383.7
708,61.303986,-45.76976,-274.8,3388.49
709,61.303992,-45.769852,-274.8,3393.27
710,61.303995,-45.769944,-275.3,3398.06
711,61.303998,-45.770036,-275.9,3402.85
712,61.304001,-45.770128,-276.4,3407.63
713,61.304004,-45.77022,-277.0,3412.42
714,61.304007,-45.770313,-277.5,3417.2
715,61.30401,-45.770405,-278.0,3421.99
716,61.304013,-45.770497,-278.6,3426.78
717,61.304016,-45.770579,-278.6,3431.56
718,61.30402,-45.770658,-278.5,3436.35
719,61.304024,-45.770736,-278.4,3441.13
720,61.304028,-45.770815,-278.2,3445.92
721,61.304032,-45.770893,-278.1,3450.71
722,61.304035,-45.770972,-278.0,3455.49
723,61.304039,-45.771051,-277.8,3460.28
724,61.304043,-45.771129,-277.7,3465.06
725,61.304047,-45.771208,-277.6,3469.85
726,61.304053,-45.771286,-277.5,3474.64
727,61.304059,-45.771364,-277.5,3479.42
728,61.304065,-45.771441,-277.5,3484.21
729,61.304072,-45.771519,-277.4,3488.99
730,61.304078,-45.771597,-277.4,3493.78
731,61.304084,-45.771675,-277.3,3498.57
732,61.304091,-45.771753,-277.3,3503.35
733,61.304097,-45.77183,-277.3,3508.14
734,61.304104,-45.771897,-277.6,3512.92
735,61.30411,-45.771964,-278.0,3517.71
736,61.304116,-45.772031,-278.4,3522.5
737,61.304123,-45.772098,-278.7,3527.28
738,61.304129,-45.772164,-279.1,3532.07
739,61.304136,-45.772231,-279.5,3536.85
740,61.304142,-45.772298,-279.8,3541.64
741,61.30415,-45.772364,-280.3,3546.43
742,61.304159,-45.77243,-280.7,3551.21
743,61.304167,-45.772495,-281.2,3556.0
744,61.304176,-45.772561,-281.7,3560.78
745,61.304185,-45.772627,-282.2,3565.57
746,61.304194,-45.772692,-282.6,3570.36
747,61.304203,-45.772758,-283.1,3575.14
748,61.304211,-45.772823,-283.6,3579.93
749,61.304217,-45.772891,-283.7,3584.71
750,61.304221,-45.772958,-283.7,3589.5
751,61.304226,-45.773025,-283.8,3594.29
752,61.304231,-45.773093,-283.8,3599.07
753,61.304236,-45.77316,-283.9,3603.86
754,61.304241,-45.773227,-283.9,3608.64
755,61.304246,-45.773295,-284.0,3613.43
756,61.304251,-45.773362,-284.0,3618.22
757,61.304254,-45.773431,-283.6,3623.0
758,61.304257,-45.773499,-283.3,3627.79
759,61.30426,-45.773568,-282.9,3632.57
760,61.304263,-45.773636,-282.5,3637.36
761,61.304266,-45.773704,-282.2,3642.15
762,61.304269,-45.773773,-281.8,3646.93
763,61.304272,-45.773841,-281.5,3651.72
764,61.304275,-45.77391,-281.2,3656.5
765,61.304279,-45.773978,-281.1,3661.29
766,61.304283,-45.774046,-281.0,3666.08
767,61.304287,-45.774115,-280.9,3670.86
768,61.30429,-45.774183,-280.8,3675.65
769,61.304294,-45.774251,-280.7,3680.43
770,61.304298,-45.77432,-280.6,3685.22
771,61.304302,-45.774388,-280.5,3690.01
772,61.304305,-45.774456,-280.4,3694.79
773,61.304309,-45.774525,-280.3,3699.58
774,61.304313,-45.774593,-280.2,3704.36
775,61.304315,-45.774661,-280.3,3709.15
776,61.304317,-45.77473,-280.5,3713.94
777,61.304318,-45.774799,-280.7,3718.72
778,61.30432,-45.774867,-280.9,3723.51
779,61.304321,-45.774936,-281.1,3728.29
780,61.304326,-45.77501,-281.3,3733.08
781,61.304343,-45.775102,-281.7,3737.87
782,61.304359,-45.775194,-282.1,3742.65
783,61.30438,-45.77528,-282.6,3747.44
784,61.304402,-45.775367,-283.0,3752.22
785,61.304424,-45.775453,-283.5,3757.01
786,61.304443,-45.775543,-283.9,3761.8
787,61.304457,-45.775636,-284.4,3766.58
788,61.304471,-45.77573,-284.8,3771.37
789,61.304485,-45.775823,-285.3,3776.15
790,61.304499,-45.775917,-285.7,3780.94
791,61.304513,-45.77601,-286.2,3785.73
792,61.304525,-45.776105,-286.6,3790.51
793,61.304537,-45.776199,-287.0,3795.3
794,61.304549,-45.776294,-287.4,3800.08
795,61.304561,-45.776389,-287.8,3804.87
796,61.304569,-45.776463,-288.1,3809.66
797,61.304574,-45.776522,-288.3,3814.44
798,61.304579,-45.77658,-288.5,3819.23
799,61.304584,-45.776639,-288.8,3824.01
800,61.304589,-45.776698,-289.0,3828.8
801,61.304594,-45.776756,-289.2,3833.59
802,61.304599,-45.776815,-289.5,3838.37
803,61.304604,-45.776873,-289.7,3843.16
804,61.304609,-45.776932,-289.9,3847.94
805,61.304615,-45.77699,-290.1,3852.73
806,61.304623,-45.777047,-290.2,3857.52
807,61.304632,-45.777104,-290.2,3862.3
808,61.30464,-45.777161,-290.3,3867.09
809,61.304648,-45.777218,-290.4,3871.87
810,61.304656,-45.777275,-290.4,3876.66
811,61.304664,-45.777332,-290.5,3881.45
812,61.304672,-45.777389,-290.6,3886.23
813,61.304681,-45.777446,-290.6,3891.02
814,61.304691,-45.777508,-290.5,3895.8
815,61.304702,-45.777573,-290.2,3900.59
816,61.304714,-45.777638,-290.0,3905.38
817,61.304725,-45.777704,-289.7,3910.16
818,61.304737,-45.777769,-289.5,3914.95
819,61.304749,-45.777834,-289.2,3919.73
820,61.304759,-45.7779,-288.9,3924.52
821,61.30477,-45.777966,-288.6,3929.31
822,61.304781,-45.778032,-288.3,3934.09
823,61.304792,-45.778098,-287.9,3938.88
824,61.304803,-45.778164,-287.6,3943.66
825,61.304813,-45.77823,-287.3,3948.45
826,61.304824,-45.778296,-286.9,3953.24
827,61.304835,-45.778362,-286.6,3958.02
828,61.304844,-45.778429,-286.2,3962.81
829,61.304853,-45.778496,-285.8,3967.59
830,61.304863,-45.778562,-285.5,3972.38
831,61.304872,-45.778629,-285.1,3977.17
832,61.304881,-45.778696,-284.7,3981.95
833,61.30489,-45.778763,-284.3,3986.74
834,61.304899,-45.77883,-284.0,3991.52
835,61.304908,-45.778897,-283.6,3996.31
836,61.304917,-45.778964,-283.3,4001.1
837,61.304926,-45.779032,-282.9,4005.88
838,61.304934,-45.779101,-282.6,4010.67
839,61.304939,-45.779173,-282.3,4015.45
840,61.304945,-45.779245,-282.0,4020.24
841,61.304951,-45.779316,-281.7,4025.03
842,61.304956,-45.779388,-281.4,4029.81
843,61.304961,-45.77946,-281.2,4034.6
844,61.304966,-45.779532,-281.0,4039.38
845,61.304971,-45.779604,-280.8,4044.17
846,61.304975,-45.779676,-280.7,4048.96
847,61.30498,-45.779748,-280.5,4053.74
848,61.304985,-45.77982,-280.3,4058.53
849,61.30499,-45.779892,-280.1,4063.31
850,61.304995,-45.779964,-280.1,4068.1
851,61.305,-45.780036,-280.1,4072.89
852,61.305006,-45.780108,-280.1,4077.67
853,61.305011,-45.78018,-280.1,4082.46
854,61.305016,-45.780252,-280.1,4087.24
855,61.305022,-45.780319,-280.1,4092.03
856,61.305027,-45.780381,-280.3,4096.82
857,61.305032,-45.780443,-280.4,4101.6
858,61.305037,-45.780504,-280.5,4106.39
859,61.305043,-45.780566,-280.6,4111.17
860,61.305048,-45.780627,-280.7,4115.96
861,61.305053,-45.780689,-280.8,4120.75
862,61.305055,-45.780752,-281.0,4125.53
863,61.305056,-45.780814,-281.2,4130.32
864,61.305056,-45.780877,-281.3,4135.1
865,61.305057,-45.780939,-281.5,4139.89
866,61.305058,-45.781002,-281.7,4144.68
867,61.305059,-45.781065,-281.9,4149.46
868,61.30506,-45.781127,-282.0,4154.25
869,61.30506,-45.78119,-282.3,4159.03
870,61.305059,-45.781252,-282.5,4163.82
871,61.305059,-45.781315,-282.8,4168.61
872,61.305059,-45.781378,-283.0,4173.39
873,61.305058,-45.78144,-283.3,4178.18
874,61.305058,-45.781503,-283.5,4182.96
875,61.305058,-45.781565,-283.8,4187.75
876,61.305057,-45.781628,-284.0,4192.54
877,61.305057,-45.781685,-284.2,4197.32
878,61.305055,-45.781736,-284.4,4202.11
879,61.305054,-45.781787,-284.6,4206.89
880,61.305053,-45.781837,-284.8,4211.68
881,61.305051,-45.781888,-284.9,4216.47
882,61.30505,-45.781939,-285.1,4221.25
883,61.305049,-45.78199,-285.3,4226.04
884,61.305047,-45.78204,-285.5,4230.82
885,61.305046,-45.782091,-285.7,4235.61
886,61.305045,-45.782142,-285.8,4240.4
887,61.305042,-45.782193,-286.0,4245.18
888,61.30504,-45.782243,-286.1,4249.97
889,61.305038,-45.782294,-286.3,4254.75
890,61.305035,-45.782345,-286.4,4259.54
891,61.305033,-45.782395,-286.6,4264.33
892,61.305031,-45.782446,-286.8,4269.11
893,61.305028,-45.782496,-286.9,4273.9
894,61.305026,-45.782547,-287.1,4278.68
895,61.305024,-45.782598,-287.2,4283.47
896,61.305021,-45.782656,-287.4,4288.26
897,61.305017,-45.782737,-287.6,4293.04
898,61.305007,-45.782813,-287.3,4297.83
899,61.304986,-45.78288,-286.0,4302.61
900,61.304965,-45.782948,-284.7,4307.4
901,61.304944,-45.783017,-284.3,4312.19
902,61.304924,-45.783085,-284.3,4316.97
903,61.304901,-45.783151,-284.4,4321.76
904,61.304884,-45.783222,-284.4,4326.54
905,61.30487,-45.783298,-284.5,4331.33
906,61.304861,-45.783377,-284.5,4336.12
907,61.304853,-45.783456,-284.4,4340.9
908,61.304844,-45.783535,-284.4,4345.69
909,61.304837,-45.783614,-284.4,4350.47
910,61.304832,-45.783694,-284.4,4355.26
911,61.304828,-45.783775,-284.3,4360.05
912,61.304823,-45.783855,-284.2,4364.83
913,61.304819,-45.783935,-284.2,4369.62
914,61.304812,-45.784016,-284.1,4374.4
915,61.304803,-45.784096,-284.1,4379.19
916,61.304795,-45.784177,-284.0,4383.98
917,61.304789,-45.784258,-283.9,4388.76
918,61.304782,-45.78434,-283.8,4393.55
919,61.304775,-45.784421,-283.7,4398.33
920,61.304768,-45.784502,-283.6,4403.12
921,61.30475,-45.784631,-284.1,4407.91
922,61.304738,-45.784775,-283.9,4412.69
923,61.304737,-45.784922,-283.7,4417.48
924,61.304736,-45.785069,-283.7,4422.26
925,61.304735,-45.785216,-283.8,4427.05
926,61.304731,-45.785362,-283.9,4431.84
927,61.304721,-45.785507,-283.8,4436.62
928,61.304708,-45.785651,-284.1,4441.41
929,61.304689,-45.785793,-284.9,4446.19
930,61.304671,-45.785934,-285.8,4450.98
931,61.304658,-45.786021,-285.9,4455.77
932,61.304646,-45.786094,-285.9,4460.55
933,61.304635,-45.786166,-285.9,4465.34
934,61.304624,-45.786239,-285.9,4470.12
935,61.304613,-45.786311,-285.9,4474.91
936,61.304605,-45.786385,-285.8,4479.7
937,61.304602,-45.786461,-285.8,4484.48
938,61.304598,-45.786537,-285.7,4489.27
939,61.304595,-45.786613,-285.6,4494.05
940,61.304592,-45.786689,-285.6,4498.84
941,61.304584,-45.786763,-285.6,4503.63
942,61.304575,-45.786837,-285.6,4508.41
943,61.304567,-45.786911,-285.6,4513.2
944,61.304564,-45.786987,-285.5,4517.98
945,61.304561,-45.787063,-285.3,4522.77
946,61.304558,-45.787139,-285.1,4527.56
947,61.304555,-45.787215,-285.0,4532.34
948,61.304407,-45.787155,-287.1,4537.13
949,61.304496,-45.787327,-285.5,4541.91
950,61.303621,-45.78547,-297.0,4546.7
951,61.303579,-45.785404,-300.2,4551.49
952,61.303536,-45.785339,-302.2,4556.27
953,61.303491,-45.785277,-302.2,4561.06
954,61.303399,-45.78522,-302.3,4565.84
955,61.30309,-45.785108,-302.7,4570.63
956,61.30301,-45.785055,-302.8,4575.42
957,61.302972,-45.78491,-302.7,4580.2
958,61.3029,-45.784808,-302.7,4584.99
959,61.302828,-45.784706,-302.4,4589.77
960,61.30276,-45.784592,-302.3,4594.56
961,61.302716,-45.784435,-302.1,4599.35
962,61.302636,-45.784367,-302.0,4604.13
963,61.302585,-45.784223,-301.8,4608.92
964,61.302503,-45.784214,-301.9,4613.7
965,61.302445,-45.784101,-301.7,4618.49
966,61.302373,-45.784015,-301.6,4623.28
967,61.30229,-45.784031,-303.6,4628.06
968,61.302215,-45.784119,-305.0,4632.85
969,61.302149,-45.784237,-305.3,4637.63
970,61.302099,-45.784383,-305.6,4642.42
971,61.302071,-45.784553,-305.8,4647.21
972,61.302057,-45.784732,-305.9,4651.99
973,61.302045,-45.784912,-306.1,4656.78
974,61.302033,-45.785092,-306.1,4661.56
975,61.302008,-45.785266,-305.9,4666.35
976,61.301977,-45.785436,-305.9,4671.14
977,61.301946,-45.785606,-305.9,4675.92
978,61.301926,-45.785782,-305.8,4680.71
979,61.301912,-45.785961,-305.8,4685.49
980,61.301905,-45.786142,-305.8,4690.28
981,61.301902,-45.786323,-305.8,4695.07
982,61.301902,-45.786403,-305.8,4699.85
983,61.301903,-45.786459,-305.8,4704.64
984,61.301905,-45.786514,-305.8,4709.42
985,61.301906,-45.78657,-305.8,4714.21
986,61.301907,-45.786625,-305.8,4719.0
987,61.301908,-45.786681,-305.8,4723.78
988,61.301909,-45.786736,-305.8,4728.57
989,61.30191,-45.786792,-305.8,4733.35
990,61.301909,-45.786847,-305.8,4738.14
991,61.301909,-45.786903,-305.8,4742.93
992,61.301908,-45.786959,-305.8,4747.71
993,61.301907,-45.787014,-305.8,4752.5
994,61.301907,-45.78707,-305.8,4757.28
995,61.301906,-45.787125,-305.8,4762.07
996,61.301906,-45.787181,-305.7,4766.86
997,61.301906,-45.787236,-305.7,4771.64
998,61.301906,-45.787292,-305.6,4776.43
999,61.301906,-45.787347,-305.5,4781.21
1000,61.301906,-45.787403,-305.5,4786.0
1001,61.301906,-45.787458,-305.4,4790.79
1002,61.301905,-45.787514,-305.3,4795.57
1003,61.301905,-45.78757,-305.3,4800.36
1004,61.301907,-45.787625,-305.2,4805.14
1005,61.30191,-45.78768,-305.1,4809.93
1006,61.301912,-45.787736,-304.9,4814.72
1007,61.301915,-45.787791,-304.8,4819.5
1008,61.301917,-45.787846,-304.7,4824.29
1009,61.301919,-45.787902,-304.6,4829.07
1010,61.301922,-45.787957,-304.5,4833.86
1011,61.301924,-45.788012,-304.3,4838.65
1012,61.301925,-45.788241,-303.6,4843.43
1013,61.301896,-45.78848,-302.8,4848.22
1014,61.301868,-45.788719,-302.1,4853.0
1015,61.301848,-45.788962,-301.5,4857.79
1016,61.301801,-45.788795,-302.0,4862.58
1017,61.30175,-45.788916,-301.8,4867.36
1018,61.301728,-45.789158,-301.3,4872.15
1019,61.301721,-45.789404,-300.9,4876.93
1020,61.301729,-45.78965,-300.6,4881.72
1021,61.301741,-45.789863,-300.3,4886.51
1022,61.301754,-45.790007,-300.2,4891.29
1023,61.301768,-45.790151,-300.0,4896.08
1024,61.301781,-45.790295,-299.6,4900.86
1025,61.301795,-45.790439,-299.0,4905.65
1026,61.301809,-45.790583,-298.5,4910.44
1027,61.301822,-45.790727,-298.5,4915.22
1028,61.301835,-45.790872,-298.5,4920.01
1029,61.301847,-45.791016,-298.6,4924.79
1030,61.30186,-45.79116,-298.6,4929.58
1031,61.301874,-45.791304,-298.7,4934.37
1032,61.301887,-45.791448,-298.7,4939.15
1033,61.3019,-45.791592,-298.8,4943.94
1034,61.301921,-45.791732,-298.8,4948.72
1035,61.301944,-45.791871,-298.9,4953.51
1036,61.301966,-45.79201,-298.9,4958.3
1037,61.301988,-45.79215,-299.0,4963.08
1038,61.302007,-45.792291,-299.2,4967.87
1039,61.302027,-45.792432,-299.3,4972.65
1040,61.302047,-45.792573,-299.5,4977.44
1041,61.302077,-45.792705,-299.5,4982.23
1042,61.30211,-45.792835,-299.5,4987.01
1043,61.302143,-45.792965,-299.5,4991.8
1044,61.302177,-45.793093,-299.8,4996.58
1045,61.302211,-45.793222,-300.2,5001.37
1046,61.302245,-45.79335,-300.5,5006.16
1047,61.302279,-45.793479,-300.9,5010.94
1048,61.302309,-45.793611,-301.1,5015.73
1049,61.302336,-45.79374,-301.2,5020.51
1050,61.302353,-45.793826,-301.2,5025.3
1051,61.30237,-45.793911,-301.3,5030.09
1052,61.302387,-45.793997,-301.4,5034.87
1053,61.302404,-45.794083,-301.5,5039.66
1054,61.302421,-45.794168,-301.6,5044.44
1055,61.302438,-45.794254,-301.6,5049.23
1056,61.302459,-45.794335,-301.9,5054.02
1057,61.302481,-45.794416,-302.3,5058.8
1058,61.302503,-45.794496,-302.6,5063.59
1059,61.302525,-45.794577,-302.9,5068.37
1060,61.302547,-45.794658,-303.2,5073.16
1061,61.302568,-45.794738,-303.5,5077.95
1062,61.30259,-45.794819,-303.8,5082.73
1063,61.302612,-45.7949,-303.9,5087.52
1064,61.302634,-45.79498,-304.0,5092.3
1065,61.302656,-45.795061,-304.0,5097.09
1066,61.302678,-45.795142,-304.1,5101.88
1067,61.3027,-45.795222,-304.1,5106.66
1068,61.302721,-45.795303,-304.1,5111.45
1069,61.302743,-45.795384,-304.2,5116.23
1070,61.302764,-45.795466,-304.3,5121.02
1071,61.302784,-45.795548,-304.3,5125.81
1072,61.302805,-45.795629,-304.4,5130.59
1073,61.302826,-45.795711,-304.5,5135.38
1074,61.302847,-45.795793,-304.6,5140.16
1075,61.302867,-45.795875,-304.6,5144.95
1076,61.302888,-45.795957,-304.9,5149.74
1077,61.302908,-45.796039,-305.3,5154.52
1078,61.302929,-45.796121,-305.6,5159.31
1079,61.30295,-45.796204,-305.9,5164.09
1080,61.30297,-45.796286,-306.3,5168.88
1081,61.302991,-45.796368,-306.6,5173.67
1082,61.303011,-45.796451,-306.9,5178.45
1083,61.303034,-45.79655,-307.0,5183.24
1084,61.303056,-45.796649,-307.0,5188.02
1085,61.303078,-45.796747,-307.0,5192.81
1086,61.3031,-45.796846,-307.1,5197.6
1087,61.303123,-45.796944,-307.1,5202.38
1088,61.303145,-45.797043,-307.2,5207.17
1089,61.303169,-45.79714,-307.2,5211.95
1090,61.303195,-45.797234,-307.2,5216.74
1091,61.303221,-45.797329,-307.1,5221.53
1092,61.303246,-45.797424,-307.1,5226.31
1093,61.303269,-45.797522,-307.1,5231.1
1094,61.303293,-45.797619,-307.1,5235.88
1095,61.303312,-45.79772,-307.1,5240.67
1096,61.303317,-45.797828,-307.1,5245.46
1097,61.303323,-45.797936,-307.1,5250.24
1098,61.303319,-45.798045,-307.1,5255.03
1099,61.303314,-45.798153,-307.0,5259.81
1100,61.30331,-45.798261,-306.9,5264.6
1101,61.303325,-45.798365,-306.8,5269.39
1102,61.303341,-45.798469,-306.7,5274.17
1103,61.303361,-45.79857,-306.2,5278.96
1104,61.303381,-45.79867,-305.7,5283.74
1105,61.303401,-45.798771,-305.1,5288.53
1106,61.303422,-45.798871,-304.5,5293.32
1107,61.30345,-45.799024,-303.2,5298.1
1108,61.30348,-45.799185,-302.0,5302.89
1109,61.303506,-45.799349,-302.3,5307.67
1110,61.303532,-45.799513,-302.5,5312.46
1111,61.303562,-45.799674,-303.3,5317.25
1112,61.303596,-45.799831,-304.7,5322.03
1113,61.303629,-45.799989,-306.1,5326.82
1114,61.303666,-45.800145,-307.0,5331.6
1115,61.303703,-45.800299,-307.8,5336.39
1116,61.303739,-45.800454,-308.5,5341.18
1117,61.303783,-45.800601,-309.3,5345.96
1118,61.303834,-45.800735,-310.0,5350.75
1119,61.303891,-45.800862,-310.6,5355.53
1120,61.303942,-45.800997,-310.9,5360.32
1121,61.303986,-45.801143,-310.9,5365.11
1122,61.304028,-45.801291,-310.8,5369.89
1123,61.304066,-45.801445,-310.7,5374.68
1124,61.304104,-45.801599,-310.5,5379.46
1125,61.304129,-45.801763,-310.4,5384.25
1126,61.304155,-45.801928,-310.3,5389.04
1127,61.304183,-45.802091,-310.3,5393.82
1128,61.304211,-45.802253,-310.2,5398.61
1129,61.304235,-45.802418,-310.2,5403.39
1130,61.304256,-45.802585,-310.2,5408.18
1131,61.304275,-45.802753,-310.2,5412.97
1132,61.304292,-45.802922,-310.2,5417.75
1133,61.304306,-45.803092,-309.8,5422.54
1134,61.304319,-45.803251,-309.3,5427.32
1135,61.304318,-45.803242,-309.3,5432.11
1136,61.304317,-45.803234,-309.4,5436.9
1137,61.304316,-45.803226,-309.4,5441.68
1138,61.304315,-45.803218,-309.4,5446.47
1139,61.304314,-45.80321,-309.4,5451.25
1140,61.304313,-45.803201,-309.4,5456.04
1141,61.304312,-45.803193,-309.4,5460.83
1142,61.304311,-45.803185,-309.4,5465.61
1143,61.30431,-45.803177,-309.4,5470.4
1144,61.304309,-45.803169,-309.4,5475.18
1145,61.304307,-45.80316,-309.4,5479.97
1146,61.304306,-45.803152,-309.4,5484.76
1147,61.304305,-45.803144,-309.4,5489.54
1148,61.304304,-45.803136,-309.4,5494.33
1149,61.304303,-45.803128,-309.4,5499.11
1150,61.304302,-45.80312,-309.5,5503.9
1151,61.304301,-45.803111,-309.5,5508.69
1152,61.3043,-45.803103,-309.5,5513.47
1153,61.304299,-45.803095,-309.5,5518.26
1154,61.304298,-45.803087,-309.5,5523.04
1155,61.304297,-45.803079,-309.5,5527.83
1156,61.304296,-45.80307,-309.5,5532.62
1157,61.304295,-45.803062,-309.5,5537.4
1158,61.304294,-45.803054,-309.5,5542.19
1159,61.304293,-45.803046,-309.5,5546.97
1160,61.304292,-45.803038,-309.5,5551.76
1161,61.304291,-45.803029,-309.5,5556.55
1162,61.304285,-45.802995,-309.6,5561.33
1163,61.304268,-45.802892,-309.9,5566.12
1164,61.304262,-45.802849,-310.2,5570.9
1165,61.304283,-45.802949,-310.2,5575.69
1166,61.304309,-45.803044,-310.0,5580.48
1167,61.304337,-45.803137,-309.7,5585.26
1168,61.304364,-45.80323,-309.5,5590.05
1169,61.304392,-45.803322,-309.2,5594.83
1170,61.304426,-45.803406,-309.1,5599.62
1171,61.30446,-45.80349,-309.0,5604.41
1172,61.304493,-45.803574,-308.9,5609.19
1173,61.304527,-45.803658,-308.8,5613.98
1174,61.304557,-45.803731,-308.5,5618.76
1175,61.304584,-45.803797,-308.0,5623.55
1176,61.304611,-45.803862,-307.5,5628.34
1177,61.304639,-45.803928,-307.0,5633.12
1178,61.304666,-45.803994,-306.5,5637.91
1179,61.304694,-45.804057,-306.3,5642.69
1180,61.304723,-45.804121,-306.1,5647.48
1181,61.304751,-45.804184,-305.9,5652.27
1182,61.304779,-45.804248,-305.8,5657.05
1183,61.304807,-45.804313,-305.7,5661.84
1184,61.304834,-45.804379,-305.6,5666.62
1185,61.304862,-45.804444,-305.5,5671.41
1186,61.304889,-45.804509,-305.4,5676.2
1187,61.304912,-45.804582,-305.2,5680.98
1188,61.304935,-45.804654,-305.0,5685.77
1189,61.304959,-45.804726,-304.8,5690.55
1190,61.304982,-45.804798,-304.6,5695.34
1191,61.305002,-45.804874,-304.4,5700.13
1192,61.305023,-45.80495,-304.2,5704.91
1193,61.305043,-45.805026,-304.0,5709.7
1194,61.305063,-45.805102,-303.8,5714.48
1195,61.305083,-45.805178,-303.6,5719.27
1196,61.305102,-45.805255,-303.4,5724.06
1197,61.305121,-45.805332,-303.2,5728.84
1198,61.30514,-45.80541,-303.0,5733.63
1199,61.305159,-45.805487,-302.8,5738.41
1200,61.305178,-45.805564,-302.6,5743.2
1201,61.305196,-45.805642,-302.4,5747.99
1202,61.305215,-45.805719,-302.1,5752.77
1203,61.305234,-45.805797,-301.8,5757.56
1204,61.305253,-45.805874,-301.6,5762.34
1205,61.305272,-45.805951,-301.3,5767.13
1206,61.305291,-45.806029,-301.0,5771.92
1207,61.305313,-45.806117,-300.9,5776.7
1208,61.305338,-45.806215,-300.9,5781.49
1209,61.305362,-45.806312,-300.8,5786.27
1210,61.305387,-45.80641,-300.8,5791.06
